"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand","dis_start.positon","dis_positon.end"
"1171","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276600.1","Chr10",60972238,60979018,6781,"+",-7233,453
"1172","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.3","Chr10",60979154,60983631,4478,"-",-317,-4160
"1173","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.2","Chr10",60979154,60983631,4478,"-",-317,-4160
"1174","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.1","Chr10",60979154,60983631,4478,"-",-317,-4160
"1175","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276600.1","Chr10",60972238,60979018,6781,"+",-7233,453
"1176","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.1","Chr10",60979154,60983631,4478,"-",-317,-4160
"1177","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.2","Chr10",60979154,60983631,4478,"-",-317,-4160
"1178","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.1","Chr10",60979154,60983631,4478,"-",-317,-4160
"1179","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.3","Chr10",60979154,60983631,4478,"-",-317,-4160
"1180","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.2","Chr10",60979154,60983631,4478,"-",-317,-4160
"1181","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276600.1","Chr10",60972238,60979018,6781,"+",-7233,453
"1182","PstI.TP226277","Cml_cm.43",10,60979471,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,11.25,NA,"",NA,NA,"","Sobic.010G276700.3","Chr10",60979154,60983631,4478,"-",-317,-4160
"1183","PstI.TP228722","CmN.135",6,53186052,"CmN","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.25,1.677,NA,"",NA,NA,"","Sobic.006G176600.2","Chr06",53182512,53187346,4835,"-",-3540,-1294
"1184","PstI.TP228722","CmN.135",6,53186052,"CmN","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.25,1.677,NA,"",NA,NA,"","Sobic.006G176600.1","Chr06",53182532,53187346,4815,"-",-3520,-1294
"1187","PstI.TP233305","CmN.138",3,72380511,"CmN","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.0615,5.776,NA,"",NA,NA,"","Sobic.003G417900.1","Chr03",72376391,72380819,4429,"+",-4120,-308
"1188","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277600.1","Chr03",61330543,61337175,6633,"+",-5771,-861
"1189","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277700.1","Chr03",61337288,61341144,3857,"-",974,-4830
"1190","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277700.1","Chr03",61337288,61341144,3857,"-",974,-4830
"1191","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277600.1","Chr03",61330543,61337175,6633,"+",-5771,-861
"1192","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277600.1","Chr03",61330543,61337175,6633,"+",-5771,-861
"1193","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277700.1","Chr03",61337288,61341144,3857,"-",974,-4830
"1194","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277700.1","Chr03",61337288,61341144,3857,"-",974,-4830
"1195","PstI.TP238422","CmN.139",3,61336314,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.129,8.106,NA,"",NA,NA,"","Sobic.003G277600.1","Chr03",61330543,61337175,6633,"+",-5771,-861
"1197","PstI.TP246674","CmN.141",4,4598220,"CmN","PS_Y(1)","C116+3293(1)","","","","","GLM(1)",0.07328,8.35,NA,"",NA,NA,"","Sobic.004G057500.1","Chr04",4599194,4602709,3516,"+",974,-4489
"1198","PstI.TP246674","CmN.141",4,4598220,"CmN","PS_Y(1)","C116+3293(1)","","","","","GLM(1)",0.07328,8.35,NA,"",NA,NA,"","Sobic.004G057500.3","Chr04",4599218,4602675,3458,"+",998,-4455
"1199","PstI.TP246674","CmN.141",4,4598220,"CmN","PS_Y(1)","C116+3293(1)","","","","","GLM(1)",0.07328,8.35,NA,"",NA,NA,"","Sobic.004G057500.2","Chr04",4599194,4602685,3492,"+",974,-4465
"1200","PstI.TP246674","CmN.141",4,4598220,"CmN","PS_Y(1)","C116+3293(1)","","","","","GLM(1)",0.07328,8.35,NA,"",NA,NA,"","Sobic.004G057500.8","Chr04",4599193,4602679,3487,"+",973,-4459
"1202","PstI.TP251038","CmN.142",7,4460512,"CmN","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.349,3.335,NA,"",NA,NA,"","Sobic.007G044100.1","Chr07",4452815,4462263,9449,"+",-7697,-1751
"1206","PstI.TP258621","CCirc_cm.25",1,74361721,"CCirc_cm","PS_Y(1)","C106+4202(1)","","","mrMLM(1)","","",0.08,32.04,NA,"",NA,NA,"","Sobic.001G470800.1","Chr01",74358530,74362956,4427,"+",-3191,-1235
"1207","PstI.TP26215","CmN.145",9,583262,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.05172,10.06,NA,"",NA,NA,"","Sobic.009G006600.2","Chr09",582214,584551,2338,"-",-1048,-1289
"1208","PstI.TP26215","CmN.145",9,583262,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.05172,10.06,NA,"",NA,NA,"","Sobic.009G006600.1","Chr09",582214,584551,2338,"-",-1048,-1289
"1209","PstI.TP262331","CmD_LI_mm.34",2,4692065,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.08847,4.23,NA,"",NA,NA,"","Sobic.002G049600.1","Chr02",4689667,4692813,3147,"-",-2398,-748
"1210","PstI.TP285646","CmN.146",7,59945480,"CmN","PS_Y(5)","C116+3293(2);C124+2560(3)","CMLM+SUPER(2);MLM+SUPER(1)","","","","GLM(2)",0.06897,8.393,NA,"",NA,NA,"","Sobic.007G164400.2","Chr07",59944610,59946235,1626,"-",-870,-755
"1211","PstI.TP290055","CmD_LI_mm.35",8,16103749,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","","FASTmrEMMA(1)","","",0.0189,8.06,NA,"",NA,NA,"","Sobic.008G084200.1","Chr08",16103148,16104134,987,"+",-601,-385
"1212","PstI.TP290738","Cml_cm.44",7,59825579,"Cml_cm","PS_N(3)","C106+4202(1);C116+3293(1);C124+2560(1)","","","ISIS EM-BLASSO(3)","","",0.25,0,NA,"",NA,NA,"","Sobic.007G163800.2","Chr07",59821905,59829921,8017,"-",-3674,-4342
"1213","PstI.TP290738","Cml_cm.44",7,59825579,"Cml_cm","PS_N(3)","C106+4202(1);C116+3293(1);C124+2560(1)","","","ISIS EM-BLASSO(3)","","",0.25,0,NA,"",NA,NA,"","Sobic.007G163800.1","Chr07",59821905,59829910,8006,"-",-3674,-4331
"1214","PstI.TP292268","CmN.147",5,3450082,"CmN","PS_N(2);PS_Y(9)","C106+4202(3);C116+3293(4);C124+2560(4)","CMLM+SUPER(3);MLM+SUPER(3)","FarmCPU(2)","FASTmrMLM(1);mrMLM(1)","","GLM(1)",0.08871,65.99,NA,"",NA,NA,"","Sobic.005G037700.1","Chr05",3448722,3450155,1434,"+",-1360,-73
"1215","PstI.TP292268","CmN.147",5,3450082,"CmN","PS_N(2);PS_Y(9)","C106+4202(3);C116+3293(4);C124+2560(4)","CMLM+SUPER(3);MLM+SUPER(3)","FarmCPU(2)","FASTmrMLM(1);mrMLM(1)","","GLM(1)",0.08871,65.99,NA,"",NA,NA,"","Sobic.005G037700.1","Chr05",3448722,3450155,1434,"+",-1360,-73
"1216","PstI.TP292268","CCirc_cm.26",5,3450082,"CCirc_cm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.07759,1.049,NA,"",NA,NA,"","Sobic.005G037700.1","Chr05",3448722,3450155,1434,"+",-1360,-73
"1217","PstI.TP292268","CCirc_cm.26",5,3450082,"CCirc_cm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.07759,1.049,NA,"",NA,NA,"","Sobic.005G037700.1","Chr05",3448722,3450155,1434,"+",-1360,-73
"1218","PstI.TP292777","CmN.148",7,64227793,"CmN","PS_N(1);PS_Y(5)","C106+4202(1);C116+3293(2);C124+2560(3)","CMLM+SUPER(2);MLM+SUPER(3)","FarmCPU(1)","","","",0.05242,8.07,NA,"",NA,NA,"","Sobic.007G213500.1","Chr07",64227573,64229696,2124,"+",-220,-1903
"1219","PstI.TP298201","Bcirc_cm.44",6,1375822,"Bcirc_cm","PS_N(3)","C106+4202(3)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1)","","",0.0962,26.14,NA,"",NA,NA,"","Sobic.006G009200.1","Chr06",1374025,1379411,5387,"-",-1797,-3589
"1220","PstI.TP299726","CmD_LI_mm.36",9,2970040,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.06604,1.01,NA,"",NA,NA,"","Sobic.009G032800.1","Chr09",2969346,2970974,1629,"-",-694,-934
"1221","PstI.TP299726","CmD_LI_mm.36",9,2970040,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.06604,1.01,NA,"",NA,NA,"","Sobic.009G032800.1","Chr09",2969346,2970974,1629,"-",-694,-934
"1222","PstI.TP299726","CmDW_g.35",9,2970040,"CmDW_g","PS_Y(5)","C106+4202(5)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(1);pLARmEB(1)","","",0.066,31.22,NA,"",NA,NA,"","Sobic.009G032800.1","Chr09",2969346,2970974,1629,"-",-694,-934
"1223","PstI.TP299726","CmDW_g.35",9,2970040,"CmDW_g","PS_Y(5)","C106+4202(5)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(1);pLARmEB(1)","","",0.066,31.22,NA,"",NA,NA,"","Sobic.009G032800.1","Chr09",2969346,2970974,1629,"-",-694,-934
"1224","PstI.TP300328","CmN.149",3,10399618,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.1543,0.7228,NA,"",NA,NA,"","Sobic.003G115400.1","Chr03",10398208,10400656,2449,"-",-1410,-1038
"1226","PstI.TP30555","Yld_kg.16",6,58396527,"Yld","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.2056,0.6224,NA,"PstI.TP140016",6,57096158,"PstI.TP140016\6\57096158","Sobic.006G243900.2","Chr06",58395638,58401831,6194,"+",-889,-5304
"1227","PstI.TP30555","Yld_kg.16",6,58396527,"Yld","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.2056,0.6224,NA,"PstI.TP140016",6,57096158,"PstI.TP140016\6\57096158","Sobic.006G243900.3","Chr06",58395638,58399975,4338,"+",-889,-3448
"1228","PstI.TP308053","CCirc_cm.27",1,8330660,"CCirc_cm","PS_N(7)","C116+3293(2);C124+2560(5)","","FarmCPU(1)","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(2);pKWmEB(1);pLARmEB(1)","","",0.1136,15.72,NA,"",NA,NA,"","Sobic.001G107500.1","Chr01",8331250,8334555,3306,"-",590,-3895
"1230","PstI.TP315072","Yld_kg.17",8,3139123,"Yld","PS_N(1)","C106+4202(1)","","","pLARmEB(1)","","",0.3774,6.875,NA,"PstI.TP30555",6,58396527,"PstI.TP30555\6\58396527","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1231","PstI.TP315072","Yld_kg.17",8,3139123,"Yld","PS_N(1)","C106+4202(1)","","","pLARmEB(1)","","",0.3774,6.875,NA,"PstI.TP30555",6,58396527,"PstI.TP30555\6\58396527","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1232","PstI.TP315072","Yld_kg.17",8,3139123,"Yld","PS_N(1)","C106+4202(1)","","","pLARmEB(1)","","",0.3774,6.875,NA,"PstI.TP30555",6,58396527,"PstI.TP30555\6\58396527","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1233","PstI.TP315072","CmD_LI_mm.37",8,3139123,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.3774,5.592,NA,"",NA,NA,"","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1234","PstI.TP315072","CmD_LI_mm.37",8,3139123,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.3774,5.592,NA,"",NA,NA,"","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1235","PstI.TP315072","CmD_LI_mm.37",8,3139123,"CmD_LI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.3774,5.592,NA,"",NA,NA,"","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1236","PstI.TP315072","CCirc_cm.28",8,3139123,"CCirc_cm","PS_N(3)","C106+4202(3)","","FarmCPU(1)","FASTmrMLM(1);pKWmEB(1)","","",0.3824,6.332,NA,"",NA,NA,"","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1237","PstI.TP315072","CCirc_cm.28",8,3139123,"CCirc_cm","PS_N(3)","C106+4202(3)","","FarmCPU(1)","FASTmrMLM(1);pKWmEB(1)","","",0.3824,6.332,NA,"",NA,NA,"","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1238","PstI.TP315072","CCirc_cm.28",8,3139123,"CCirc_cm","PS_N(3)","C106+4202(3)","","FarmCPU(1)","FASTmrMLM(1);pKWmEB(1)","","",0.3824,6.332,NA,"",NA,NA,"","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-",-235,-1839
"1239","PstI.TP317521","CmN.151",4,66042591,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.1006,0.1183,NA,"",NA,NA,"","Sobic.004G325000.1","Chr04",66040983,66044797,3815,"-",-1608,-2206
"1244","PstI.TP326891","Bcirc_cm.46",1,74036176,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.2298,2.835,NA,"",NA,NA,"","Sobic.001G467200.1","Chr01",74033170,74037753,4584,"+",-3006,-1577
"1245","PstI.TP326891","Bcirc_cm.46",1,74036176,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.2298,2.835,NA,"",NA,NA,"","Sobic.001G467200.2","Chr01",74033170,74037753,4584,"+",-3006,-1577
"1248","PstI.TP344899","CmN.156",7,61484903,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.05641,7.428,NA,"",NA,NA,"","Sobic.007G181600.2","Chr07",61481623,61484493,2871,"-",-3280,410
"1249","PstI.TP344899","CmN.156",7,61484903,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.05641,7.428,NA,"",NA,NA,"","Sobic.007G181600.1","Chr07",61481623,61484493,2871,"-",-3280,410
"1250","PstI.TP346744","CmD_BI_mm.36",3,52014149,"CmD_BI_mm","PS_Y(1)","C116+3293(1)","","","ISIS EM-BLASSO(1)","","",0.2629,8.987,NA,"",NA,NA,"","Sobic.003G195900.1","Chr03",51991307,52014851,23545,"-",-22842,-702
"1251","PstI.TP350262","CmDW_g.37",8,2905616,"CmDW_g","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.4839,1.015,NA,"",NA,NA,"","Sobic.008G032600.1","Chr08",2903619,2906189,2571,"-",-1997,-573
"1256","PstI.TP371473","CmD_BI_mm.37",10,59883760,"CmD_BI_mm","PS_Y(1)","C124+2560(1)","","","mrMLM(1)","","",0.0164,0,NA,"",NA,NA,"","Sobic.010G262300.1","Chr10",59880031,59884762,4732,"-",-3729,-1002
"1257","PstI.TP374511","CmDW_g.38",1,3576636,"CmDW_g","PS_Y(1)","C106+4202(1)","CMLM+SUPER(1)","","","","",0.1368,1.076,NA,"",NA,NA,"","Sobic.001G048900.4","Chr01",3574708,3578692,3985,"+",-1928,-2056
"1258","PstI.TP374511","CmDW_g.38",1,3576636,"CmDW_g","PS_Y(1)","C106+4202(1)","CMLM+SUPER(1)","","","","",0.1368,1.076,NA,"",NA,NA,"","Sobic.001G048900.3","Chr01",3574706,3578692,3987,"+",-1930,-2056
"1259","PstI.TP374511","CmDW_g.38",1,3576636,"CmDW_g","PS_Y(1)","C106+4202(1)","CMLM+SUPER(1)","","","","",0.1368,1.076,NA,"",NA,NA,"","Sobic.001G048900.2","Chr01",3574708,3578692,3985,"+",-1928,-2056
"1260","PstI.TP374511","CmDW_g.38",1,3576636,"CmDW_g","PS_Y(1)","C106+4202(1)","CMLM+SUPER(1)","","","","",0.1368,1.076,NA,"",NA,NA,"","Sobic.001G048900.1","Chr01",3574708,3578692,3985,"+",-1928,-2056
"1261","PstI.TP376790","CmD_BI_mm.38",1,28681754,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,6.383,NA,"",NA,NA,"","Sobic.001G254700.1","Chr01",28682631,28683824,1194,"+",877,-2070
"1262","PstI.TP376790","CmD_BI_mm.38",1,28681754,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,6.383,NA,"",NA,NA,"","Sobic.001G254700.2","Chr01",28682631,28683824,1194,"+",877,-2070
"1263","PstI.TP376790","CmD_BI_mm.38",1,28681754,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,6.383,NA,"",NA,NA,"","Sobic.001G254700.1","Chr01",28682631,28683824,1194,"+",877,-2070
"1264","PstI.TP376790","CmD_BI_mm.38",1,28681754,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,6.383,NA,"",NA,NA,"","Sobic.001G254700.2","Chr01",28682631,28683824,1194,"+",877,-2070
"1265","PstI.TP376790","CmD_LI_mm.38",1,28681754,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,3.576,NA,"",NA,NA,"","Sobic.001G254700.1","Chr01",28682631,28683824,1194,"+",877,-2070
"1266","PstI.TP376790","CmD_LI_mm.38",1,28681754,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,3.576,NA,"",NA,NA,"","Sobic.001G254700.2","Chr01",28682631,28683824,1194,"+",877,-2070
"1267","PstI.TP376790","CmD_LI_mm.38",1,28681754,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,3.576,NA,"",NA,NA,"","Sobic.001G254700.1","Chr01",28682631,28683824,1194,"+",877,-2070
"1268","PstI.TP376790","CmD_LI_mm.38",1,28681754,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2636,3.576,NA,"",NA,NA,"","Sobic.001G254700.2","Chr01",28682631,28683824,1194,"+",877,-2070
"1269","PstI.TP384804","CmD_BI_mm.39",2,65029446,"CmD_BI_mm","PS_N(2);PS_Y(1)","C116+3293(1);C124+2560(2)","","FarmCPU(1)","pKWmEB(2)","","",0.4267,6.257,NA,"",NA,NA,"","Sobic.002G265166.1","Chr02",65028763,65029198,436,"-",-683,248
"1270","PstI.TP384804","CmD_BI_mm.39",2,65029446,"CmD_BI_mm","PS_N(2);PS_Y(1)","C116+3293(1);C124+2560(2)","","FarmCPU(1)","pKWmEB(2)","","",0.4267,6.257,NA,"",NA,NA,"","Sobic.002G265166.1","Chr02",65028763,65029198,436,"-",-683,248
"1271","PstI.TP384804","CmDW_g.39",2,65029446,"CmDW_g","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.4194,0.001305,NA,"",NA,NA,"","Sobic.002G265166.1","Chr02",65028763,65029198,436,"-",-683,248
"1272","PstI.TP384804","CmDW_g.39",2,65029446,"CmDW_g","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.4194,0.001305,NA,"",NA,NA,"","Sobic.002G265166.1","Chr02",65028763,65029198,436,"-",-683,248
"1273","PstI.TP385678","CmN.159",2,45782629,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.3324,7.058,NA,"",NA,NA,"","Sobic.002G153200.2","Chr02",45781720,45783353,1634,"+",-909,-724
"1274","PstI.TP387329","CCirc_cm.29",9,55961556,"CCirc_cm","PS_Y(1)","C124+2560(1)","CMLM+SUPER(1)","","","","",0.1855,13.41,NA,"",NA,NA,"","Sobic.009G214600.1","Chr09",55959390,55962236,2847,"+",-2166,-680
"1275","PstI.TP392482","CCirc_cm.30",1,17611146,"CCirc_cm","PS_N(3);PS_Y(1)","C106+4202(3);C116+3293(1)","","","FASTmrEMMA(2);mrMLM(2)","","",0.015,8.831,NA,"",NA,NA,"","Sobic.001G196000.1","Chr01",17610486,17622072,11587,"+",-660,-10926
"1276","PstI.TP393536","CmN.160",1,66632271,"CmN","PS_N(2)","C124+2560(2)","","","ISIS EM-BLASSO(1);pLARmEB(1)","","",0.1967,4.489,NA,"",NA,NA,"","Sobic.001G378200.1","Chr01",66631252,66633147,1896,"-",-1019,-876
"1277","PstI.TP393536","CmN.160",1,66632271,"CmN","PS_N(2)","C124+2560(2)","","","ISIS EM-BLASSO(1);pLARmEB(1)","","",0.1967,4.489,NA,"",NA,NA,"","Sobic.001G378200.1","Chr01",66631252,66633147,1896,"-",-1019,-876
"1278","PstI.TP393536","CCirc_cm.31",1,66632271,"CCirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.217,0.8616,NA,"",NA,NA,"","Sobic.001G378200.1","Chr01",66631252,66633147,1896,"-",-1019,-876
"1279","PstI.TP393536","CCirc_cm.31",1,66632271,"CCirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.217,0.8616,NA,"",NA,NA,"","Sobic.001G378200.1","Chr01",66631252,66633147,1896,"-",-1019,-876
"1280","PstI.TP39944","CmD_BI_mm.40",4,3373898,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.2419,5.767,NA,"",NA,NA,"","Sobic.004G041100.1","Chr04",3371442,3376139,4698,"-",-2456,-2241
"1283","PstI.TP402429","CmDW_g.40",1,4990016,"CmDW_g","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.07075,1.699,NA,"",NA,NA,"","Sobic.001G065600.1","Chr01",4988890,4994406,5517,"-",-1126,-4390
"1285","PstI.TP410206","Yld_kg.18",1,8001262,"Yld","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1129,7.715,NA,"PstI.TP315072",8,3139123,"PstI.TP315072\8\3139123","Sobic.001G104500.1","Chr01",8001993,8006115,4123,"-",731,-4853
"1286","PstI.TP410209","CmN.162",3,69602329,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.3825,1.454,NA,"",NA,NA,"","Sobic.003G382500.2","Chr03",69598917,69603224,4308,"-",-3412,-895
"1287","PstI.TP410209","CmN.162",3,69602329,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.3825,1.454,NA,"",NA,NA,"","Sobic.003G382500.1","Chr03",69598917,69603224,4308,"-",-3412,-895
"1294","PstI.TP418863","CmN.164",6,59970341,"CmN","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.1008,0.1529,NA,"",NA,NA,"","Sobic.006G265900.1","Chr06",59968764,59971233,2470,"+",-1577,-892
"1295","PstI.TP424396","Yld_kg.19",3,19276647,"Yld","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.4713,4.973,NA,"PstI.TP410206",1,8001262,"PstI.TP410206\1\8001262","Sobic.003G161500.3","Chr03",19272846,19277057,4212,"-",-3801,-410
"1296","PstI.TP425751","CmN.165",2,71461615,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.2892,0.7471,NA,"",NA,NA,"","Sobic.002G350400.2","Chr02",71460150,71463561,3412,"+",-1465,-1946
"1297","PstI.TP425751","CmN.165",2,71461615,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.2892,0.7471,NA,"",NA,NA,"","Sobic.002G350400.1","Chr02",71460150,71463561,3412,"+",-1465,-1946
"1298","PstI.TP426528","Bcirc_cm.48",2,75226780,"Bcirc_cm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.3879,20.02,NA,"",NA,NA,"","Sobic.002G401700.1","Chr02",75226896,75229771,2876,"+",116,-2991
"1306","PstI.TP433824","CmN.167",3,57313153,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.08895,0.02433,NA,"",NA,NA,"","Sobic.003G234400.4","Chr03",57311562,57316959,5398,"+",-1591,-3806
"1307","PstI.TP434866","CmD_BI_mm.44",6,3914949,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.1434,9.785,NA,"",NA,NA,"","Sobic.006G022200.1","Chr06",3913531,3923044,9514,"+",-1418,-8095
