"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand"
"2638","PstI.TP834967","CmDW_g.60",11,5782,"CmDW_g","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.1653,5.965,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2639","PstI.TP834967","Yld_kg.51",11,5782,"Yld","PS_N(2)","124+36088im(2)","","","FASTmrMLM(1)pLARmEB(1)","","",0.1653,14.57,NA,"PstI.TP492299",11,3739,"PstI.TP492299\11\3739",NA,NA,NA,NA,NA,NA
"2640","PstI.TP836173","CmN.225",11,5793,"CmN","PS_Y(3)","C116+3293(1);C124+2560(2)","CMLM+SUPER(2);MLM+SUPER(1)","","","","",0.1815,0.1194,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2645","PstI.TP838943","CmD_BI_mm.71",3,4037471,"CmD_BI_mm","PS_N(4);PS_Y(2)","124+36088im(6)","","","FASTmrMLM(2);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.0968,11.66,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2646","PstI.TP838943","Cml_cm.65",3,4037471,"Cml_cm","PS_N(4);PS_Y(2)","124+36088im(6)","","","FASTmrMLM(2);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.0968,6.813,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2647","PstI.TP838943","CmDW_g.61",3,4037471,"CmDW_g","PS_N(2)","124+36088im(2)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.0968,4.065,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2670","PstI.TP846513","CmN.227",11,5867,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.07298,13.16,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2673","PstI.TP849929","Bcirc_cm.73",6,57879722,"Bcirc_cm","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.2418,0.9429,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2684","PstI.TP855559","Yld_kg.52",11,5958,"Yld","PS_N(1)","C124+2560(1)","","","ISIS EM-BLASSO(1)","","",0.25,23.74,NA,"PstI.TP63668",11,530,"PstI.TP63668\11\530",NA,NA,NA,NA,NA,NA
"2685","PstI.TP856013","CmDW_g.65",11,5962,"CmDW_g","PS_Y(1)","C106+4202(1)","CMLM+SUPER(1)","","","","",0.06132,0.8843,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2686","PstI.TP856013","CmN.229",11,5962,"CmN","PS_Y(2)","C106+4202(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.06132,3.875,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2699","PstI.TP867369","CmD_BI_mm.72",3,14568699,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.06645,0.8874,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2701","PstI.TP871892","Bcirc_cm.75",11,6087,"Bcirc_cm","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0444,11.24,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2702","PstI.TP875140","CCirc_cm.46",2,72930521,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.084,3.042,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2703","PstI.TP875140","CmN.233",2,72930521,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.225,8.457,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2704","PstI.TP881941","CmN.234",11,6157,"CmN","PS_Y(1)","C106+4202(1)","MLM+SUPER(1)","","","","",0.4623,2.18e-06,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2719","PstI.TP897375","Yld_kg.53",11,6255,"Yld","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.06466,4.28,NA,"PstI.TP737962",11,5096,"PstI.TP737962\11\5096",NA,NA,NA,NA,NA,NA
"2722","PstI.TP902502","Bcirc_cm.76",11,6289,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.2621,4.764,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2724","PstI.TP908218","CmN.236",11,6342,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.08976,7.671,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2725","PstI.TP915962","Yld_kg.54",11,6401,"Yld","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.2661,4.31,NA,"PstI.TP834967",11,5782,"PstI.TP834967\11\5782",NA,NA,NA,NA,NA,NA
"2726","PstI.TP916844","CmN.237",11,6407,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.05298,7.094,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2785","PstI.TP977299","CmN.238",11,6780,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.05187,7.123,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"2795","PstI.TP984199","CmN.239",11,6827,"CmN","PS_N(2)","C116+3293(1);C124+2560(1)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.3578,7.646,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
