"","SNP","Chromosome","Position","Trait.name","Method","QTN.effect","LOD.score","PVE","MAF","Genotype.for.code.1","Var_error","Var_phen..total.","Software","Ind.SNP","PS","P.value"
"2161","PstI.TP166492",6,2200069,"FW_1","pLARmEB",-0.0005,3.7646,0.2636,0.1226,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000313184312511164
"2171","PstI.TP487745",6,47618306,"FW_1","pLARmEB",0.0001,9.1349,0,0.0236,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000882266928217718
"2181","PstI.TP942201",6,51864974,"FW_1","pLARmEB",-0.0004,12.7908,0,0.1085,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000165767733684888
"2191","NsiI.TP579169",7,40226521,"FW_1","pLARmEB",-0.000079654,7.5701,0,0.0377,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000035424195826165
"2201","PstI.TP780884",7,54360893,"FW_1","pLARmEB",0.0001,7.0477,0,0.0802,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000122011284703193
"2216","PstI.TP838226",7,56380657,"FW_1","pLARmEB",0.0002,13.5914,0,0.0472,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000025474167494428
"2221","PstI.TP1254872",7,56573064,"FW_1","pLARmEB",-0.0002,5.7731,0.0239,0.0708,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000252173821564492
"2231","PstI.TP1281273",9,52305676,"FW_1","pLARmEB",-0.0004,4.6131,0.1066,0.2642,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000040448274538
"2241","NsiI.TP663012",9,52480175,"FW_1","pLARmEB",0.0002,12.028,0.0237,0.3113,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000989008445021067
"2251","PstI.TP1156107",10,4914081,"FW_1","pLARmEB",-0.0002,21.6938,0.0287,0.0519,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000000000000160287627229429
"2261","NsiI.TP123409",10,8686160,"FW_1","pLARmEB",-0.000095449,3.418,0,0.0189,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000726775033810323
"2271","PstI.TP85647",10,60886778,"FW_1","pLARmEB",0.0002,17.0614,0.0216,0.0566,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000000000000000773036499601135
"2281","PstI.TP9218",11,63,"FW_1","pLARmEB",0.0004,13.2209,0.1275,0.1179,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000000000605898671138967
"2291","PstI.TP38986",11,318,"FW_1","pLARmEB",0.0003,3.5517,0.0306,0.0377,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000525049198674763
"2301","PstI.TP65497",11,546,"FW_1","pLARmEB",-0.0001,6.845,0.0005,0.0283,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000197287695552571
"2315","PstI.TP527171",11,3934,"FW_1","pLARmEB",-0.000096142,15.6238,0,0.0142,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000000000221003931734919
"2321","PstI.TP539015",11,4010,"FW_1","pLARmEB",-0.0001,8.0204,0,0.0283,"G",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000122208102232506
"2331","PstI.TP582448",11,4183,"FW_1","pLARmEB",0.0004,10.8973,0.0117,0.0472,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000000140119958494001
"2341","PstI.TP692748",11,4800,"FW_1","pLARmEB",-0.0001,8.014,0.0077,0.0566,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000124050923004223
"2351","PstI.TP919648",11,6431,"FW_1","pLARmEB",0.0001,28.0897,0,0.0142,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.00000000000000000000000000000567675302429824
"2361","PstI.TP1071296",11,7466,"FW_1","pLARmEB",0.0008,5.7972,0.1664,0.1321,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000238122262327684
"2371","PstI.TP1141531",11,7998,"FW_1","pLARmEB",0.0006,3.697,0.1218,0.2264,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000036897759857015
"2381","PstI.TP1159423",11,8140,"FW_1","pLARmEB",0.0018,14.3941,3.4503,0.4057,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000000000000390211442114136
"2391","PstI.TP1175461",11,8280,"FW_1","pLARmEB",-0.001,5.2308,0.3651,0.25,"C",NA,NA,"mrMLMM","F106+4185","PS_N",0.000000920449571753172
"2401","NsiI.TP328982",11,12748,"FW_1","pLARmEB",-0.0006,9.3603,0.2951,0.1604,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.0000000000519039010197082
"2415","NsiI.TP560012",11,16067,"FW_1","pLARmEB",-0.0014,3.0385,2.4124,0.2972,"A",NA,NA,"mrMLMM","F106+4185","PS_N",0.000183569278089882
"2421","PstI.TP360841",2,2832783,"HW_50","mrMLM",0.02,3.4019,11.1632,0.3991,"C",0.0007,0.0013,"mrMLMM","F116+3098","PS_N",0.0000755788013680452
"2431","PstI.TP325958",3,54129415,"HW_50","mrMLM",-0.0132,3.4723,11.9765,0.2982,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000636795520907916
"2441","PstI.TP532426",7,64966356,"HW_50","mrMLM",0.0143,4.4652,11.8415,0.4605,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000577297929648235
"2451","PstI.TP1159423",11,8140,"HW_50","mrMLM",0.0159,4.0699,16.1228,0.4035,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000149658021675365
"2461","PstI.TP457393",1,60097068,"HW_50","FASTmrEMMA",-0.0262,4.065,6.3532,0.2069,"C",0.0009,0.0013,"mrMLMM","F116+3098","PS_N",0.000015142584296694
"247","PstI.TP1159423",11,8140,"HW_50","FASTmrEMMA",0.0272,3.6826,6.2046,0.3966,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000382032226884411
"248","PstI.TP629259",1,4276027,"HW_50","pLARmEB",-0.0021,3.5702,0.1622,0.375,"C",0.0006,0.0013,"mrMLMM","F116+3098","PS_N",0.0000501995703378947
"249","PstI.TP308053",1,8330660,"HW_50","pLARmEB",-0.0023,8.7532,0.0527,0.1078,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000000216870259934546
"250","PstI.TP419952",1,13194145,"HW_50","pLARmEB",-0.000044694,3.0868,0.000042248,0.0431,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.000163079736102359
"2514","PstI.TP288641",1,27158173,"HW_50","pLARmEB",-0.001,5.3434,0.0249,0.056,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000703234226907659
"2521","PstI.TP457393",1,60097068,"HW_50","pLARmEB",-0.0034,4.559,0.7223,0.2069,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000460680680830093
"2531","PstI.TP352846",1,71717994,"HW_50","pLARmEB",0.0007,5.193,0.0409,0.2759,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000100739548481125
"2541","NsiI.TP499934",1,76362422,"HW_50","pLARmEB",-0.0003,3.6864,0,0.2069,"G",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000378616904103359
"2551","PstI.TP1122752",2,56295956,"HW_50","pLARmEB",-0.0002,3.1519,0.0007,0.2198,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000139091310817473
"256","PstI.TP738881",2,57512325,"HW_50","pLARmEB",-0.000061492,3.0497,0.000088029,0.2026,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000178607626824142
"257","PstI.TP772632",2,65920887,"HW_50","pLARmEB",0.0024,3.4178,0.3811,0.181,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000727109803159661
"258","PstI.TP1231486",2,73904492,"HW_50","pLARmEB",0.0089,10.4374,5.7491,0.2586,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000412477249784663
"259","NsiI.TP436966",3,208286,"HW_50","pLARmEB",0.0003,4.9162,0.0044,0.0991,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000195478951087767
"260","PstI.TP96410",3,4423816,"HW_50","pLARmEB",0.0007,5.7537,0.0131,0.194,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000264119216327174
"2614","PstI.TP731882",3,19716780,"HW_50","pLARmEB",0.000042496,4.6154,0.000060089,0.0647,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000402253655998683
"2621","PstI.TP246329",3,29389536,"HW_50","pLARmEB",-0.000014577,3.2466,0.0000015821,0.0129,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000110357028996402
"2631","PstI.TP568461",3,74315454,"HW_50","pLARmEB",0.000038052,4.8563,0.000020989,0.0259,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000225631639962815
"2641","PstI.TP532669",4,3498516,"HW_50","pLARmEB",0.0008,6.7915,0.0355,0.4741,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000223975234517842
"265","PstI.TP935651",4,66370793,"HW_50","pLARmEB",0.0111,11.0162,8.2836,0.2069,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000105998568450917
"266","PstI.TP569914",5,1262747,"HW_50","pLARmEB",0.000083491,3.3282,0.0005,0.2672,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000904482149047591
"267","PstI.TP404885",6,51199851,"HW_50","pLARmEB",-0.000012121,3.0312,0.0000021295,0.0259,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000186852967725585
"268","PstI.TP939692",6,57716221,"HW_50","pLARmEB",-0.000016267,11.9493,0.0000032255,0.0216,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000011890496789851
"269","PstI.TP1107519",9,3315165,"HW_50","pLARmEB",0.0001,6.7647,0.0003,0.0431,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000238671190833997
"270","PstI.TP809778",10,8543510,"HW_50","pLARmEB",0.000018923,3.0064,0,0.0302,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00019856376547487
"2714","PstI.TP85647",10,60886778,"HW_50","pLARmEB",0.000043274,11.0858,0.000055072,0.056,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000000000900326431059722
"2721","PstI.TP65497",11,546,"HW_50","pLARmEB",-0.000022187,3.1634,0.0000012433,0.0302,"G",NA,NA,"mrMLMM","F116+3098","PS_N",0.000135238392525265
"2731","PstI.TP201653",11,1648,"HW_50","pLARmEB",-0.000019521,3.2588,0,0.0259,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000107127260720295
"274","PstI.TP394317",11,3076,"HW_50","pLARmEB",0.000016266,3.6812,0.0000050207,0.0345,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000383354000759044
"275","PstI.TP938416",11,6563,"HW_50","pLARmEB",-0.000052315,3.7597,0.000051934,0.0474,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000316956746304349
"276","PstI.TP1124649",11,7892,"HW_50","pLARmEB",-0.0002,3.5122,0.0002,0.0819,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000577962951195466
"277","NsiI.TP66747",11,9923,"HW_50","pLARmEB",0.000063905,3.1928,0.000095073,0.0431,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000125863556687644
"278","PstI.TP532426",7,64966356,"HW_50","ISIS EM-BLASSO",0.0124,3.838,9.7934,0.4698,"C",0.0004,0.0013,"mrMLMM","F116+3098","PS_N",0.0000262180266151044
"279","PstI.TP1159423",11,8140,"HW_50","ISIS EM-BLASSO",0.011,3.2154,8.3497,0.3966,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.000119096774599519
"280","PstI.TP457393",1,60097068,"FW_50","mrMLM",-0.0209,3.4084,11.5851,0.2105,"C",0.0016,0.0026,"mrMLMM","F116+3098","PS_N",0.0000743875062907567
"2813","PstI.TP532426",7,64966356,"FW_50","mrMLM",0.0191,3.9202,9.6894,0.4605,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000214881981440347
"2821","PstI.TP1159423",11,8140,"FW_50","mrMLM",0.0312,5.0644,28.204,0.4035,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000137056614531154
"283","PstI.TP360841",2,2832783,"FW_50","FASTmrMLM",0.0189,3.6594,5.4639,0.4052,"C",0.0014,0.0026,"mrMLMM","F116+3098","PS_N",0.0000404203435079501
"284","PstI.TP935651",4,66370793,"FW_50","FASTmrMLM",0.0128,3.5602,5.7221,0.2069,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000514280431948792
"285","PstI.TP532426",7,64966356,"FW_50","FASTmrMLM",0.0157,3.984,7.8789,0.4698,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000184161990352467
"286","PstI.TP1159423",11,8140,"FW_50","FASTmrMLM",0.0218,4.1201,16.5179,0.3966,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000132586711776056
"287","PstI.TP457393",1,60097068,"FW_50","FASTmrEMMA",-0.0433,5.3075,8.6987,0.2069,"C",0.0018,0.0026,"mrMLMM","F116+3098","PS_N",0.000000766125645013802
"288","PstI.TP1159423",11,8140,"FW_50","FASTmrEMMA",0.0381,3.6252,6.1218,0.3966,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000439136969024406
"289","PstI.TP772632",2,65920887,"FW_50","pLARmEB",0.0053,3.2476,0.8482,0.181,"A",0.0012,0.0026,"mrMLMM","F116+3098","PS_N",0.000110103214872977
"290","PstI.TP1231486",2,73904492,"FW_50","pLARmEB",0.0157,3.7247,8.181,0.2586,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000344984831362751
"2913","PstI.TP1231136",3,52841481,"FW_50","pLARmEB",-0.000017959,4.4301,0,0.0905,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000628058358813318
"2921","PstI.TP935651",4,66370793,"FW_50","pLARmEB",0.0153,6.2111,7.1719,0.2069,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000888791719884821
"293","PstI.TP1231486",2,73904492,"FW_50","ISIS EM-BLASSO",0.0131,3.1118,6.3951,0.2586,"A",0.0011,0.0026,"mrMLMM","F116+3098","PS_N",0.000153426366485928
"294","PstI.TP935651",4,66370793,"FW_50","ISIS EM-BLASSO",0.0164,3.0884,9.3018,0.2069,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000162442625419354
"295","PstI.TP532426",7,64966356,"FW_50","ISIS EM-BLASSO",0.0211,6.5129,14.2145,0.4698,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000433810440546589
"296","PstI.TP831544",10,5137704,"FW_50","ISIS EM-BLASSO",-0.0094,3.3537,0.1162,0.181,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.000084996295944962
"1100","PstI.TP457393",1,60097068,"GHW_1","mrMLM",-0.0068,3.6081,12.9329,0.2105,"C",0.0002,0.0003,"mrMLMM","F116+3098","PS_N",0.0000457825522791694
"297","PstI.TP532426",7,64966356,"GHW_1","mrMLM",0.0056,3.3764,8.6871,0.4605,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000804266538015677
"3101","PstI.TP1159423",11,8140,"GHW_1","mrMLM",0.0092,4.3051,25.4975,0.4035,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000848594084500823
"4101","PstI.TP217258",3,3992070,"GHW_1","FASTmrMLM",0.0011,3.0132,0.1494,0.0388,"C",0.0001,0.0003,"mrMLMM","F116+3098","PS_N",0.000195298991207568
"5101","PstI.TP457393",1,60097068,"GHW_1","FASTmrEMMA",-0.014,5.0137,9.4294,0.2069,"C",0.0002,0.0003,"mrMLMM","F116+3098","PS_N",0.00000154774710373492
"841","PstI.TP935651",4,66370793,"GHW_1","ISIS EM-BLASSO",0.0043,4.1234,6.628,0.2069,"A",0.0001,0.0003,"mrMLMM","F116+3098","PS_N",0.0000131522483219224
"1101","PstI.TP532426",7,64966356,"GFW_1","mrMLM",0.0071,4.7723,13.6571,0.4605,"C",0.0002,0.0002,"mrMLMM","F116+3098","PS_N",0.00000275994228285426
"298","PstI.TP1159423",11,8140,"GFW_1","mrMLM",0.0102,3.9571,30.5368,0.4035,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000196562198058037
"3112","PstI.TP457393",1,60097068,"GFW_1","FASTmrEMMA",-0.0121,4.0801,7.2234,0.2069,"C",0.0002,0.0002,"mrMLMM","F116+3098","PS_N",0.0000146015849681179
"4111","NsiI.TP499934",1,76362422,"GFW_1","pLARmEB",-0.00008271,3.9973,0,0.2069,"G",0.0001,0.0002,"mrMLMM","F116+3098","PS_N",0.000017836104164296
"5112","PstI.TP1231486",2,73904492,"GFW_1","pLARmEB",0.0032,3.3228,3.9868,0.2586,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000916431481976648
"6101","PstI.TP568461",3,74315454,"GFW_1","pLARmEB",0.000014379,4.2446,0.000016644,0.0259,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000981974024865487
"7101","NsiI.TP179941",8,55948810,"GFW_1","pLARmEB",-0.00009284,3.9468,0,0.0474,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000201511576185001
"8101","PstI.TP831544",10,5137704,"GFW_1","pLARmEB",-0.0018,3.5479,0.0461,0.181,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000529907419094754
"9101","PstI.TP897375",11,6255,"GFW_1","pLARmEB",-0.000018956,3.5402,0.000062586,0.0647,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000539883431999212
"10101","PstI.TP935651",4,66370793,"GFW_1","ISIS EM-BLASSO",0.0031,3.7746,3.5712,0.2069,"A",0.0001,0.0002,"mrMLMM","F116+3098","PS_N",0.0000305703210698766
"1102","PstI.TP360841",2,2832783,"GHW_50","mrMLM",0.0221,3.4644,11.1577,0.3991,"C",0.0008,0.0016,"mrMLMM","F116+3098","PS_N",0.000064908264913184
"299","PstI.TP325958",3,54129415,"GHW_50","mrMLM",-0.0149,3.6724,12.5087,0.2982,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000391651685591211
"3121","PstI.TP532426",7,64966356,"GHW_50","mrMLM",0.016,4.6548,12.1619,0.4605,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000365931671975348
"4121","PstI.TP1159423",11,8140,"GHW_50","mrMLM",0.0176,4.1359,16.1221,0.4035,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000127614493174916
"5121","PstI.TP457393",1,60097068,"GHW_50","FASTmrEMMA",-0.0235,3.4256,4.1634,0.2069,"C",0.001,0.0016,"mrMLMM","F116+3098","PS_N",0.0000713509894481564
"6111","PstI.TP532426",7,64966356,"GHW_50","FASTmrEMMA",0.0262,3.7788,6.8979,0.4698,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000302551980387231
"7112","PstI.TP1159423",11,8140,"GHW_50","FASTmrEMMA",0.0361,5.1282,8.9453,0.3966,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000117625098468472
"8111","PstI.TP629259",1,4276027,"GHW_50","pLARmEB",-0.0019,9.5976,0.112,0.375,"C",0.0007,0.0016,"mrMLMM","F116+3098","PS_N",0.0000000000296961398639916
"9111","PstI.TP476949",1,5536792,"GHW_50","pLARmEB",0.0003,4.5799,0.0048,0.4871,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000438126982022493
"10111","PstI.TP308053",1,8330660,"GHW_50","pLARmEB",-0.0016,10.7148,0.0202,0.1078,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000215030467934025
"11101","PstI.TP288641",1,27158173,"GHW_50","pLARmEB",-0.0007,16.2084,0.0113,0.056,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000000000564936974812301
"12101","PstI.TP502131",1,59426545,"GHW_50","pLARmEB",0.000014502,18.2519,0.0000021117,0.0216,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000000000000482391892432714
"13101","PstI.TP352846",1,71717994,"GHW_50","pLARmEB",0.0008,4.3835,0.0339,0.2759,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000702586822435099
"14101","NsiI.TP499934",1,76362422,"GHW_50","pLARmEB",-0.0001,3.3101,0,0.2069,"G",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000945366045957965
"15101","PstI.TP972096",2,3042190,"GHW_50","pLARmEB",0.000022317,8.0758,0,0.0259,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000107201287175259
"16101","PstI.TP749310",2,9525754,"GHW_50","pLARmEB",-0.0028,14.9128,0,0.2672,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000000011619836038698
"1710","PstI.TP548709",2,61335066,"GHW_50","pLARmEB",0.0001,19.7991,0.0002,0.0603,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000000000000131522483219224
"1810","PstI.TP641744",2,61738293,"GHW_50","pLARmEB",-0.000056277,9.8505,0.000081819,0.2371,"G",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000163832477962864
"1910","PstI.TP772632",2,65920887,"GHW_50","pLARmEB",0.0056,3.7566,1.7041,0.181,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000319300795107466
"2010","PstI.TP1231486",2,73904492,"GHW_50","pLARmEB",0.0096,27.0725,5.451,0.2586,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000000000000000000000601312178789933
"21101","PstI.TP541575",2,74276308,"GHW_50","pLARmEB",-0.00003052,4.2715,0.000029727,0.0905,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000092023765480567
"22101","PstI.TP217258",3,3992070,"GHW_50","pLARmEB",0.00003794,8.0317,0.000025078,0.0388,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000118987132916004
"2310","PstI.TP246329",3,29389536,"GHW_50","pLARmEB",-0.000016691,4.2568,0.0000017086,0.0129,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000953454559672456
"2410","PstI.TP308868",3,50361949,"GHW_50","pLARmEB",0.000031494,9.4552,0.000030201,0.0733,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000415145180040569
"2510","PstI.TP325958",3,54129415,"GHW_50","pLARmEB",-0.0033,10.2082,0.6684,0.2931,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000706642900425207
"2610","PstI.TP41440",3,59899767,"GHW_50","pLARmEB",-0.0002,16.4365,0.0011,0.0733,"G",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000000000331894457552611
"2710","PstI.TP1022061",3,61377198,"GHW_50","pLARmEB",0.0004,10.1607,0.002,0.1509,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000790132635154131
"2810","PstI.TP865412",3,66830234,"GHW_50","pLARmEB",-0.000016268,7.4132,0.000002145,0.0172,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000513452177502966
"2910","PstI.TP568461",3,74315454,"GHW_50","pLARmEB",0.000049047,3.2815,0.000028724,0.0259,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000101344456978479
"3011","PstI.TP532669",4,3498516,"GHW_50","pLARmEB",0.0003,10.9077,0.0046,0.4741,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000136741393065035
"3131","PstI.TP248632",4,6371322,"GHW_50","pLARmEB",-0.000036573,4.49,0.0000027828,0.0733,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000543750914029847
"3211","PstI.TP262688",4,7128828,"GHW_50","pLARmEB",-0.000032069,4.7473,0.000024913,0.056,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000293089324525032
"3311","PstI.TP148299",4,61873463,"GHW_50","pLARmEB",0.000010985,3.4502,0.0000036739,0.0733,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000672047546628296
"3411","PstI.TP935651",4,66370793,"GHW_50","pLARmEB",0.0122,18.3371,8.1452,0.2069,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000000000000395548735055563
"3511","NsiI.TP501821",5,53570195,"GHW_50","pLARmEB",-0.000031975,5.3393,0.000019606,0.0517,"G",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000710068096254533
"3611","PstI.TP428451",6,48787560,"GHW_50","pLARmEB",-0.000015351,16.8046,0,0.0474,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000000000140669518206104
"3711","NsiI.TP652621",6,56522972,"GHW_50","pLARmEB",-0.000060682,12.9811,0.0001,0.0776,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000000106194004978222
"3811","PstI.TP788586",6,57442567,"GHW_50","pLARmEB",0.0014,14.969,0.0982,0.3534,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000000000000101906057474925
"3911","PstI.TP939692",6,57716221,"GHW_50","pLARmEB",-0.000015774,7.6494,0.0000024982,0.0216,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000029362971257567
"4011","PstI.TP1000389",7,44396572,"GHW_50","pLARmEB",-0.000032657,14.5487,0.000020452,0.0474,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000000000000271956848609892
"4131","PstI.TP838226",7,56380657,"GHW_50","pLARmEB",0.000047959,17.0927,0,0.0431,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000000000000000718621158380459
"4211","PstI.TP1118313",8,3139823,"GHW_50","pLARmEB",-0.000084976,7.5256,0.0003,0.4871,"G",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000393550075455778
"4311","PstI.TP417854",8,3908674,"GHW_50","pLARmEB",-0.000010753,6.9448,0.00000024056,0.0302,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000155704082590184
"4411","NsiI.TP179941",8,55948810,"GHW_50","pLARmEB",-0.0001,24.2049,0,0.0474,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000000000000000000468381787850244
"4511","PstI.TP654004",9,2357362,"GHW_50","pLARmEB",-0.0004,5.4865,0.0004,0.1595,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000499574198175964
"4611","PstI.TP145796",9,40783563,"GHW_50","pLARmEB",-0.000036907,12.6983,0,0.125,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000000205825889054205
"471","PstI.TP998803",9,51615898,"GHW_50","pLARmEB",-0.000070879,4.6815,0.000010452,0.0647,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000034324166501212
"481","PstI.TP442690",9,56608067,"GHW_50","pLARmEB",-0.00002279,13.593,0.0000052148,0.0259,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000000253804898596378
"491","PstI.TP809778",10,8543510,"GHW_50","pLARmEB",0.000016515,13.1425,0,0.0302,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000000000727947401324267
"501","PstI.TP248498",10,57422064,"GHW_50","pLARmEB",-0.000027738,12.9192,0.0000077255,0.0216,"A",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000000000000122743923115841
"5131","PstI.TP47535",11,404,"GHW_50","pLARmEB",0.000017837,11.2179,0.0000013124,0.0259,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.000000000000660389257478547
"521","PstI.TP490779",11,3725,"GHW_50","pLARmEB",0.000086841,7.5713,0.00001569,0.0647,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.00000000353264502585567
"531","PstI.TP762971",11,5268,"GHW_50","pLARmEB",0.000085502,3.4877,0.0002,0.0647,"C",NA,NA,"mrMLMM","F116+3098","PS_N",0.0000613338179792623
